Name,Program Identifier,Inspection Date,Description,Address,City,zipcode,Phone,Longitude,Latitude,Inspection Business Name,Inspection Type,Inspection Score,Inspection Result,Inspection Closed Business,Violation Type,Violation Description,Violation Points,Business_ID,Inspection_Serial_Num,Violation_Record_ID,Grade
POQUITO'S RESTAURANT & BAR,POQUITO'S RESTAURANT & BAR,2017-08-14,Seating 151-250 - Risk Category III,1000 E PIKE ST,SEATTLE,98122,(206) 605-4404,-122.31917,47.61432635,POQUITO'S RESTAURANT & BAR,Consultation/Education - Field,0.0,Complete,False,,,0,PR0081259,DAIYCJEJL,,2.0
Q NIGHT CLUB,Q NIGHT CLUB,2017-09-08,Seating 51-150 - Risk Category I,1426 BROADWAY,SEATTLE,98122,(703) 470-3103,-122.32033631,47.613746,Q NIGHT CLUB,Routine Inspection/Field Review,10.0,Unsatisfactory,False,RED,0600 - Adequate handwashing facilities,10,PR0082452,DAJDO4KXG,IV5PS4XAM,2.0
CHARTWELLS HIGHER EDUCATION,SIDE BAR,2017-09-12,Seating 51-150 - Risk Category III,901 12TH AVE ,Seattle,98122,(253) 208-4545,-122.3171120616,47.610653491499995,CHARTWELLS HIGHER EDUCATION,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0056964,DASCRF1FB,,1.0
TAVOLATA,TAVOLATA,2017-09-13,Seating 51-150 - Risk Category III,2323 2ND AVE ,SEATTLE,98121,(206) 443-1791,-122.34672589659999,47.614444724799995,TAVOLATA,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0076501,DANELBU3V,,1.0
CHARTWELLS HIGHER EDUCATION,CHERRY ST. MARKET- 2ND FLOOR,2017-09-15,Seating 51-150 - Risk Category III,1000 E JAMES WAY,SEATTLE,98122,,-122.3237358091,47.60617222850001,CHARTWELLS HIGHER EDUCATION,Consultation/Education - Field,0.0,Complete,False,,,0,PR0067510,DAJJR0UTL,,3.0
BATHTUB GIN & CO.,BATHTUB GIN & CO.,2017-09-27,Seating 0-12 - Risk Category I,2205 2ND AVE 603,SEATTLE,98121,(206) 728-6069,-122.34476348540001,47.6131507338,BATHTUB GIN & CO.,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0077850,DAZW800YI,,1.0
SODEXO@SEATTLEPACIFIC U,HANDCRAFT,2017-10-02,Seating 13-50 - Risk Category III,3307 3RD AVE W,Seattle,98119,(206) 281-2597,-122.36458161540001,47.6489843587,SODEXO@SEATTLEPACIFIC U,Routine Inspection/Field Review,5.0,Unsatisfactory,False,RED,2120 - Proper cold holding temperatures ( 42 degrees F to 45 degrees F),5,PR0019189,DA57OEWIE,IVR090OPV,1.0
CHARTWELLS HIGHER EDUCATION,BOTTOM LINE - PIGOTT BLDG,2017-10-27,Seating 0-12 - Risk Category III,901 12TH AVE,SEATTLE,98122,,-122.3171120616,47.610653491499995,CHARTWELLS HIGHER EDUCATION,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0066924,DAECIKWBL,,1.0
CHARTWELLS HIGHER EDUCATION,THE CAVE -  CAMPION BLDG,2017-11-06,Seating 0-12 - Risk Category III,914 E JEFFERSON ST,Seattle,98122,(253) 208-4545,-122.319346,47.606678,CHARTWELLS HIGHER EDUCATION,Consultation/Education - Field,0.0,Complete,False,,,0,PR0003887,DAW91KCAO,,1.0
"INNKEEPER, THE",THE INNKEEPER,2017-11-17,Seating 13-50 - Risk Category III,2510 1ST AVE,Seattle,98121,,-122.34899363219999,47.6150623805,"INNKEEPER, THE",Routine Inspection/Field Review,0.0,Unsatisfactory,False,,,0,PR0004096,DA7GT0XOE,,1.0
NEIGHBOURS,NEIGHBOURS,2017-11-23,Seating 51-150 - Risk Category III,1509 BROADWAY,Seattle,98122,,-122.3212,47.614408000000005,NEIGHBOURS,Consultation/Education - Field,0.0,Complete,False,,,0,PR0003383,DAK6E9M1T,,2.0
BLACK BOTTLE,BLACK BOTTLE,2017-11-30,Seating 13-50 - Risk Category III,2600 1ST AVE ,Seattle,98121,(206) 441-7714,-122.3497053726,47.615459011000006,BLACK BOTTLE,Routine Inspection/Field Review,25.0,Unsatisfactory,False,RED,1900 - No room temperature storage; proper use of time...,25,PR0002382,DANM0DOW7,IVKKTHGGI,2.0
SEATTLE ACADEMY,SEATTLE ACADEMY,2017-11-30,Seating 51-150 - Risk Category III,1111 13TH AVE,SEATTLE,98122,(206) 323-6600,-122.3157327591,47.6120167848,SEATTLE ACADEMY,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0067753,DAICMAJP4,,1.0
NAVY STRENGTH,NAVY STRENGTH,2017-12-11,Seating 51-150 - Risk Category III,2505 2ND AVE STE 102,SEATTLE,98121,(206) 956-8423,-122.34842874,47.61534587,NAVY STRENGTH,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0086697,DAIDYI3MU,,1.0
BLUWATER LESCHI,BLUWATER LESCHI,2017-12-18,Seating 151-250 - Risk Category III,102 LAKESIDE AVE S ,SEATTLE,98122,(206) 328-2233,-122.28493285479999,47.601680322,BLUWATER LESCHI,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0003206,DA3FKRJXF,,1.0
"RABBIT HOLE, LLC","RABBIT HOLE, LLC",2018-01-05,Seating 13-50 - Risk Category III,2222 2ND AVE ,SEATTLE,98121,(206) 778-9483,-122.3448908175,47.6138164505,"RABBIT HOLE, LLC",Routine Inspection/Field Review,5.0,Satisfactory,False,BLUE,"4100 - Warewashing facilities properly installed,...",5,PR0076296,DABYJEXYL,IVDBB3K6S,1.0
Populuxe Brewing,POPULUXE BREWING,2018-01-12,Seating 0-12 - Risk Category I,826-B NW 49th ST,SEATTLE,98107,(206) 718-8806,-122.36760779,47.66459877,Populuxe Brewing,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0082797,DAQ6LZIDS,,1.0
PHO BAC RESTAURANT,PHO-BAC RESTAURANT,2018-01-12,Seating 51-150 - Risk Category III,1314 S JACKSON ST ,Seattle,98144,(206) 323-4387,-122.3148041676,47.599374276300004,PHO BAC RESTAURANT,Consultation/Education - Field,0.0,Complete,False,,,0,PR0002529,DAIZILJBN,,3.0
FRED MEYER #608,FRED MEYER - TULLY'S,2018-01-31,Seating 0-12 - Risk Category II,915 NW 45TH ST,SEATTLE,98107,(206) 297-4300,-122.36881699999999,47.660214,FRED MEYER #608,Routine Inspection/Field Review,3.0,Satisfactory,False,BLUE,3700 - In-use utensils properly stored,3,PR0053845,DA7TIAUST,IVTSOZVHY,1.0
LADYBUG ESPRESSO,LADYBUG ESPRESSO,2018-01-31,Seating 0-12 - Risk Category I,5400 E MARGINAL WAY S,SEATTLE,98134,(206) 852-0642,-122.336606,47.554001,LADYBUG ESPRESSO,Routine Inspection/Field Review,15.0,Unsatisfactory,False,RED,0200 - Food Worker Cards current for all food workers; new food workers trained,5,PR0082438,DA8H4AK9Y,IVWEVG7NU,2.0
PANERA BREAD #4002024,PANERA BREAD #4002024,2018-02-06,Seating 51-150 - Risk Category III,1620 BROADWAY AVE STE 100A,SEATTLE,98122,(206) 302-7634,-122.32055700000001,47.615794,PANERA BREAD #4002024,Routine Inspection/Field Review,5.0,Satisfactory,False,RED,2300 - Proper Consumer Advisory posted for raw ...,5,PR0080803,DADRJZIXT,IVRTIOV7I,1.0
MONTLAKE BOULEVARD MARKET,"MONTLAKE BOULEVARD MARKET ""DELI""",2018-03-05,Seating 13-50 - Risk Category III,2605 22ND AVE E ,SEATTLE,98112,(206) 323-4518,-122.3040574841,47.643394676199996,MONTLAKE BOULEVARD MARKET,Routine Inspection/Field Review,3.0,Satisfactory,False,BLUE,3700 - In-use utensils properly stored,3,PR0003353,DAX00LH0I,IV35LUDY9,2.0
SPECTRA....MCCAW HALL,SPECTRA...MCCAW HALL / 2ND TIER BARISTA,2018-03-24,Seating 13-50 - Risk Category I,321 MERCER ST ,SEATTLE,98109,,-122.3507667491,47.6239525269,SPECTRA....MCCAW HALL,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0069124,DABNGARHD,,1.0
UBER,UBER,2018-03-30,Seating 13-50 - Risk Category I,7517 AURORA AVE N ,SEATTLE,98103,(206) 782-2337,-122.34484321059999,47.68382663,UBER,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0072382,DANX0NPWM,,1.0
"STILL LIQUOR, LLC","STILL LIQUOR, LLC",2018-03-30,Seating 51-150 - Risk Category I,1524 MINOR AVE ,SEATTLE,98122,(206) 325-4343,-122.32821904,47.61465138,"STILL LIQUOR, LLC",Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0079753,DACJQF09J,,1.0
"INTRIGUE CHOCOLATES CO, LLC","INTRIGUE CHOCOLATES, CO.",2018-04-02,Seating 0-12 - Risk Category I,76 S WASHINGTON ST #104,SEATTLE,98104,(206) 335-6336,-122.33523249999999,47.60102262,"INTRIGUE CHOCOLATES CO, LLC",Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0082628,DAUAMYPAG,,1.0
EL CORAZON,EL CORAZON,2018-04-03,Seating 51-150 - Risk Category I,109 EASTLAKE AVE E ,Seattle,98109,,-122.3293318658,47.6187961673,EL CORAZON,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0003417,DABZ85J8L,,2.0
KIGO KITCHEN,KIGO KITCHEN,2018-04-03,Seating 13-50 - Risk Category III,210 WESTLAKE AVE N,SEATTLE,98109,(206) 289-0054,-122.33813,47.619993,KIGO KITCHEN,Routine Inspection/Field Review,25.0,Unsatisfactory,False,RED,1900 - No room temperature storage; proper use of time...,25,PR0083535,DA2789975,IV7029151,1.0
COUNTRY DELI GROCERY,COUNTRY DELI GROCERY,2018-04-03,Seating 0-12 - Risk Category II,7789 HIGHLAND PARK WAY SW,Seattle,98106,(206) 762-0915,-122.34705017530001,47.5327421825,COUNTRY DELI GROCERY,Routine Inspection/Field Review,10.0,Unsatisfactory,False,RED,2110 - Proper cold holding temperatures (greater than  45 degrees F),10,PR0002646,DAUWEMZZR,IVSEBJTLC,1.0
CHIPOTLE MEXICAN GRILL #2228,CHIPOTLE MEXICAN GRILL #2228,2018-04-03,Seating 51-150 - Risk Category III,212 WESTLAKE AVE N STE 101,SEATTLE,98109,(303) 222-5940,-122.338158,47.620313,CHIPOTLE MEXICAN GRILL #2228,Routine Inspection/Field Review,10.0,Unsatisfactory,False,RED,2110 - Proper cold holding temperatures (greater than  45 degrees F),10,PR0083969,DA2789977,IV7029211,1.0
VICTORY LOUNGE,VICTORY LOUNGE,2018-04-07,Seating 13-50 - Risk Category III,433 EASTLAKE AVE E ,Seattle,98109,(206) 286-8306,-122.3293386768,47.6230104132,VICTORY LOUNGE,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0003224,DA8EOFGDV,,1.0
STARBUCKS COFFEE,STARBUCKS @ SWEDISH,2018-04-10,Seating 13-50 - Risk Category II,1600 E JEFFERSON ST,SEATTLE,98122,(206) 281-8700,-122.31121247,47.606489,STARBUCKS COFFEE,Consultation/Education - Field,0.0,Complete,False,,,0,PR0081298,DAJOFDFIF,,2.0
QFC #825,QFC #825 - BAKERY/ESPRESSO,2018-04-11,Seating 0-12 - Risk Category II,2500 SW BARTON ST ,Seattle,98126,,-122.36589570219999,47.5220288458,QFC #825,Routine Inspection/Field Review,25.0,Unsatisfactory,False,RED,0500 - Proper barriers used to prevent bare hand contact with ready to eat foods.,25,PR0029205,DA48RQTV0,IVLNUR7YA,2.0
KFC #332,KFC #332,2018-04-11,Seating 13-50 - Risk Category III,3501 SW AVALON WAY,Seattle,98126,(650) 941-5681,-122.3764292548,47.563889896000006,KFC #332,Routine Inspection/Field Review,10.0,Satisfactory,False,BLUE,"3400 - Wiping cloths properly used, stored, proper sanitizer",5,PR0003083,DAEC8CUN6,IVCNI0KP6,1.0
"URBAN FAMILY BREWING COMPANY, LLC","URBAN FAMILY BREWING COMPANY, LLC",2018-04-11,Seating 13-50 - Risk Category I,4441 26TH AVE W STE A,SEATTLE,98199,(360) 920-5042,-122.39029751,47.66058608,"URBAN FAMILY BREWING COMPANY, LLC",Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0087071,DADJTHQEF,,1.0
QFC #825,QFC #825 - STARBUCKS,2018-04-11,Seating 0-12 - Risk Category II,2500 SW BARTON ST ,Seattle,98126,,-122.36589570219999,47.5220288458,QFC #825,Routine Inspection/Field Review,5.0,Satisfactory,False,BLUE,"3400 - Wiping cloths properly used, stored, proper sanitizer",5,PR0072200,DA6C0ZB3W,IVI1K360I,1.0
SAFEWAY STORE  #1923,STARBUCKS @ SAFEWAY #1923,2018-04-12,Seating 0-12 - Risk Category II,9620 28TH AVE SW ,SEATTLE,98126,,-122.3672607309,47.5167015385,SAFEWAY STORE  #1923,Routine Inspection/Field Review,10.0,Satisfactory,False,BLUE,"3400 - Wiping cloths properly used, stored, proper sanitizer",5,PR0075391,DAENBDJQ0,IVDPOEQZB,1.0
"TARGET STORES, T0637",TARGET STORE T0637 - STARBUCKS,2018-04-12,Seating 13-50 - Risk Category II,2800 SW BARTON ST,SEATTLE,98126,(612) 304-7613,-122.36892041889999,47.5222186816,"TARGET STORES, T0637",Routine Inspection/Field Review,5.0,Satisfactory,False,RED,0200 - Food Worker Cards current for all food workers; new food workers trained,5,PR0085365,DAO7KU4JK,IVHWCRLOL,1.0
DOWN POUR COFFEE BAR,DOWN POUR COFFEE BAR,2018-04-16,Seating 13-50 - Risk Category II,515 HARVARD AVE E,SEATTLE,98102,(425) 444-3471,-122.32229068,47.62366009,DOWN POUR COFFEE BAR,Routine Inspection/Field Review,5.0,Satisfactory,False,BLUE,"3400 - Wiping cloths properly used, stored, proper sanitizer",5,PR0086235,DA6YAXWQT,IVULVQJTL,1.0
HAVANA,HAVANA,2018-04-19,Seating 51-150 - Risk Category I,1010 E PIKE ST ,SEATTLE,98122,(206) 767-1875,-122.3187146429,47.614274292299996,HAVANA,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0072394,DATDYQAKQ,,1.0
OUNCES TAPROOM AND BEER GARDEN,OUNCES TAPROOM AND BEER GARDEN,2018-04-19,Seating 51-150 - Risk Category I,3809 DELRIDGE WAY SW,SEATTLE,98106,(206) 519-9559,-122.36276104,47.56963603,OUNCES TAPROOM AND BEER GARDEN,Routine Inspection/Field Review,8.0,Satisfactory,False,BLUE,3900 - Single use and single service articles properly...,3,PR0086240,DA31KTPO0,IVBRJPNVH,1.0
"BELMONT LOUNGE, THE","BELMONT LOUNGE, THE",2018-04-20,Seating 0-12 - Risk Category II,518 E PIKE ST,SEATTLE,98122,(425) 283-9085,-122.3246558,47.61425464,"BELMONT LOUNGE, THE",Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0085532,DAHGCV4GI,,1.0
TAVOLATA,TAVO II,2018-04-20,Seating 51-150 - Risk Category III,501 E PIKE ST STE 100,SEATTLE,98122,(206) 588-0300,-122.32523929999999,47.61387181,TAVOLATA,Routine Inspection/Field Review,5.0,Satisfactory,False,BLUE,"4100 - Warewashing facilities properly installed,...",5,PR0085819,DA9TL4KP3,IV9IDBO5K,1.0
COZY NUT TAVERN,COZY NUT TAVERN,2018-04-21,Seating 13-50 - Risk Category II,123 N 85TH ST,SEATTLE,98103,(206) 784-8526,-122.35689209,47.69046441,COZY NUT TAVERN,Consultation/Education - Field,0.0,Complete,False,,,0,PR0084044,DALVSLWWJ,,2.0
DREAM GIRLS,DREAM GIRLS,2018-04-23,Seating 0-12 - Risk Category I,1530 1ST AVE S,SEATTLE,98134,(206) 200-7801,-122.33364977,47.58926287,DREAM GIRLS,Consultation/Education - Field,0.0,Complete,False,,,0,PR0079962,DANB3GANN,,1.0
LAUGHS COMEDY CLUB,LAUGHS COMEDY CLUB,2018-04-25,Seating 51-150 - Risk Category III,5220 ROOSEVELT WAY NE,SEATTLE,98105,(206) 526-5653,-122.31707295,47.66696359,LAUGHS COMEDY CLUB,Routine Inspection/Field Review,30.0,Unsatisfactory,False,BLUE,"3400 - Wiping cloths properly used, stored, proper sanitizer",5,PR0086091,DAKSQASHF,IVROG0GL1,2.0
M BAR LLC,M BAR LLC,2018-05-01,Seating 151-250 - Risk Category III,400 FAIRVIEW AVE N,SEATTLE,98109,(206) 906-9606,-122.3339003,47.62251234,M BAR LLC,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0085916,DAPZSAKTT,,2.0
FIGUREHEAD BREWING COMPANY LLC,FIGUREHEAD BREWING COMPANY LLC,2018-05-03,Seating 13-50 - Risk Category I,4001 21ST AVE W UNIT B,SEATTLE,98199,(206) 351-4281,-122.38374204,47.65613265,FIGUREHEAD BREWING COMPANY LLC,Routine Inspection/Field Review,5.0,Satisfactory,False,BLUE,"3400 - Wiping cloths properly used, stored, proper sanitizer",5,PR0086094,DAQB2ZQZG,IVI2DFKMY,1.0
PHO VAN VIETNAMESE RESTAURANT,PHO VAN VIETNAMESE RESTAURANT,2018-05-07,Seating 51-150 - Risk Category III,9150 RAINIER AVE S,SEATTLE,98118,(206) 725-2989,-122.2696717642,47.5211522852,PHO VAN VIETNAMESE RESTAURANT,Routine Inspection/Field Review,35.0,Unsatisfactory,False,RED,1400 - Raw meats below and away from ready to eat food; species separated,5,PR0002428,DAGFS5CSW,IVJUHLR07,2.0
STUMBLING MONK,STUMBLING MONK,2018-05-12,Seating 13-50 - Risk Category I,1635 E OLIVE WAY ,SEATTLE,98102,(206) 860-0916,-122.3241638045,47.6194809092,STUMBLING MONK,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0070749,DAUTRY6DU,,1.0
CAPITOL LOUNGE - I FRESH,CAPITOL LOUNGE,2018-05-15,Seating 13-50 - Risk Category II,916 E PIKE ST,SEATTLE,98122,(425) 503-9017,-122.3197894,47.61423543,CAPITOL LOUNGE - I FRESH,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0086718,DAIPC01U0,,1.0
HURRY CURRY OF TOKYO,HURRY CURRY OF TOKYO,2018-05-18,Seating 51-150 - Risk Category III,825 HARRISON ST,SEATTLE,98109,(443) 812-5767,-122.34004891,47.62186388,HURRY CURRY OF TOKYO,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0085473,DAHLMM9BO,,1.0
KAI MARKET (DELI),KAI MARKET - DELI,2018-05-21,Seating 13-50 - Risk Category III,400 FAIRVIEW AVE N STE P001,SEATTLE,98109,(206) 624-3215,-122.3339003,47.62251234,KAI MARKET (DELI),Consultation/Education - Field,0.0,Complete,False,,,0,PR0086620,DAXW059TD,,1.0
SLOW BOAT TAVERN,SLOW BOAT TAVERN,2018-05-24,Seating 13-50 - Risk Category I,5701 RAINIER AVE S UNIT D,SEATTLE,98118,(206) 235-6023,-122.27784552,47.5509748,SLOW BOAT TAVERN,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0085413,DA9OENDPC,,1.0
HOMEGROWN,HOMEGROWN,2018-05-24,Seating 13-50 - Risk Category III,208 WESTLAKE AVE N,SEATTLE,98109,(206) 849-0414,-122.33814344,47.62010559,HOMEGROWN,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0083717,DAEQMYTVW,,2.0
ELYSIAN BREWING COMPANY INC.,ELYSIAN BREWING COMPANY INC.,2018-05-25,Seating 51-150 - Risk Category I,5400 AIRPORT WAY S,SEATTLE,98108,(206) 860-3977,-122.32100355,47.55404712,ELYSIAN BREWING COMPANY INC.,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0086454,DAF9HHWTS,,1.0
Neighbor Lady,Neighbor Lady,2018-05-25,Seating 51-150 - Risk Category III,2308 E Union ST,SEATTLE,98122,(206) 235-0596,-122.30214148,47.61315257,Neighbor Lady,Consultation/Education - Field,0.0,Complete,False,,,0,PR0081947,DANWRKQSP,,2.0
STARBUCKS COFFEE #3324,STARBUCKS COFFEE #3324,2018-05-30,Seating 13-50 - Risk Category II,800 12TH AVE,SEATTLE,98122,(206) 447-1575,-122.31656026729999,47.6093681654,STARBUCKS COFFEE #3324,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0063993,DACTSRWNG,,1.0
STARBUCKS COFFEE,STARBUCKS COFFEE,2018-05-30,Seating 13-50 - Risk Category II,824 E PIKE ST,SEATTLE,98122,(206) 318-2340,-122.32100277,47.61425793,STARBUCKS COFFEE,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0083300,DAGHI3QNE,,1.0
BOTTLENECK LOUNGE,BOTTLENECK LOUNGE,2018-06-04,Seating 0-12 - Risk Category II,2328 E MADISON ST ,Seattle,98112,(206) 353-3853,-122.3016022299,47.6199838979,BOTTLENECK LOUNGE,Consultation/Education - Field,0.0,Complete,False,,,0,PR0002420,DAAIVHRNB,,1.0
"MENAGERIE INC, ON THE HIYU (MARINE VESSEL)","MENAGERIE INC, ON THE HIYU (MARINE VESSEL)",2018-06-06,Seating 151-250 - Risk Category III,1801 FAIRVIEW AVE E,SEATTLE,98102,(206) 786-2271,-122.32769837,47.63541689,"MENAGERIE INC, ON THE HIYU (MARINE VESSEL)",Consultation/Education - Field,0.0,Complete,False,,,0,PR0087449,DAEN5N0AB,,1.0
ARGOSY,SIGHTSEER,2018-06-19,Seating 51-150 - Risk Category I,1101 ALASKAN WAY 201,Seattle,98101,(206) 623-1445,-122.3399337292,47.604787424499996,ARGOSY,Routine Inspection/Field Review,5.0,Satisfactory,False,BLUE,"4200 - Food-contact surfaces maintained, clean, sanitized",5,PR0012133,DARJFJNAD,IV04O6JDR,1.0
TRIPLE R BREWERY ALLEY TAVERN,TRIPLE R BREWERY ALLEY TAVERN,2018-06-20,Seating 13-50 - Risk Category I,916 B NE 64TH ST,SEATTLE,98115,(206) 579-3370,-122.317889,47.675188,TRIPLE R BREWERY ALLEY TAVERN,Routine Inspection/Field Review,5.0,Satisfactory,False,BLUE,"3200 - Insects, rodents, animals not present; entrance controlled.",5,PR0086441,DAMEFPOB6,IVENVK9MD,1.0
STARBUCKS COFFEE,STARBUCKS - 8TH FLOOR SODO #15253,2018-06-20,Seating 51-150 - Risk Category II,2401 UTAH AVE S,SEATTLE,98134,(206) 618-9266,-122.33591820000001,47.58090105,STARBUCKS COFFEE,Consultation/Education - Field,0.0,Complete,False,,,0,PR0081232,DAPSVUHKV,,1.0
LO FI PERFORMANCE GALLERY,LO-FI PERFORMANCE GALLERY,2018-06-22,Seating 13-50 - Risk Category I,429 Eastlake AVE E,SEATTLE,98109,(484) 239-9866,-122.32933437,47.62292089,LO FI PERFORMANCE GALLERY,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0081885,DAU4HJSDD,,1.0
CENTURY LINK FIELD,SOUTHWEST - SUITE LEVEL PANTRY,2018-06-23,Seating 0-12 - Risk Category III,800 OCCIDENTAL AVE S,SEATTLE,98134,(206) 808-8302,-122.3315931318,47.5954381396,CENTURY LINK FIELD,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0086281,DA0LGBHKX,,1.0
PALACE AT THE MOORE - BACKSTAGE,PALACE AT THE MOORE - BACKSTAGE,2018-06-29,Seating 13-50 - Risk Category I,1932 2ND AVE ,SEATTLE,98101,,-122.3411153309,47.611724324399994,PALACE AT THE MOORE - BACKSTAGE,Routine Inspection/Field Review,10.0,Unsatisfactory,False,RED,0600 - Adequate handwashing facilities,10,PR0076773,DAEX7KIT6,IVZPJUSVD,1.0
SALTY'S ON ALKI,SALTY'S ON ALKI - BAKERY/BAR,2018-07-06,Seating 0-12 - Risk Category II,1936 HARBOR AVE SW ,Seattle,98126,(206) 938-2236,-122.37644376850001,47.5865374413,SALTY'S ON ALKI,Routine Inspection/Field Review,5.0,Unsatisfactory,False,RED,1500 - Proper handling of pooled eggs,5,PR0043600,DAGZQOIFT,IVDWHZIDY,1.0
BISTRO TURKUAZ,BISTRO TURKUAZ,2018-07-10,Seating 0-12 - Risk Category III,1114 34TH AVE ,SEATTLE,98122,(206) 327-8555,-122.2891612288,47.6121467996,BISTRO TURKUAZ,Consultation/Education - Field,0.0,Complete,False,,,0,PR0076202,DAA4MM5XW,,1.0
